## Yaksa Times ##
Buf Counts		Time(us)
0         		0.280000
1         		0.951000
2         		0.913000
4         		0.918000
8         		0.931000
16        		0.866000
32        		0.862000
64        		0.871000
128       		0.812000
256       		0.798000
512       		0.874000
1024      		0.888000
2048      		1.071000
4096      		1.611000
8192      		2.356000
16384     		3.760000
32768     		7.628000
65536     		16.592000
131072    		32.886000
262144    		64.960000
524288    		137.710000
1048576   		313.230000
2097152   		1386.910000
4194304   		2320.390000
8388608   		5304.070000
16777216  		10944.710000
33554432  		22060.610000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.250000
1         		0.255000
2         		0.263000
4         		0.267000
8         		0.018000
16        		0.133000
32        		0.242000
64        		0.232000
128       		0.238000
256       		0.244000
512       		0.276000
1024      		0.289000
2048      		0.543000
4096      		1.029000
8192      		1.762000
16384     		3.085000
32768     		6.835000
65536     		15.590000
131072    		31.700000
262144    		64.273000
524288    		134.930000
1048576   		308.370000
2097152   		1397.990000
4194304   		2356.500000
8388608   		5225.960000
16777216  		10763.320000
33554432  		21907.870000
