## Yaksa Times ##
Buf Counts		Time(us)
0         		0.257000
1         		0.606000
2         		0.617000
4         		0.616000
8         		0.617000
16        		0.597000
32        		0.612000
64        		0.598000
128       		0.586000
256       		0.596000
512       		0.586000
1024      		0.660000
2048      		0.838000
4096      		1.467000
8192      		2.246000
16384     		3.836000
32768     		7.756000
65536     		17.508000
131072    		35.397000
262144    		70.226000
524288    		148.310000
1048576   		321.210000
2097152   		1445.560000
4194304   		2328.680000
8388608   		5409.960000
16777216  		11175.230000
33554432  		22722.720000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.234000
1         		0.250000
2         		0.258000
4         		0.255000
8         		0.254000
16        		0.234000
32        		0.281000
64        		0.241000
128       		0.241000
256       		0.267000
512       		0.289000
1024      		0.329000
2048      		0.543000
4096      		1.112000
8192      		1.798000
16384     		3.293000
32768     		6.895000
65536     		16.624000
131072    		34.668000
262144    		69.725000
524288    		146.180000
1048576   		314.860000
2097152   		1448.840000
4194304   		2361.230000
8388608   		5273.910000
16777216  		10934.400000
33554432  		22614.670000
