## Yaksa Times ##
Buf Counts		Time(us)
0         		0.267000
1         		0.604000
2         		0.601000
4         		0.573000
8         		0.578000
16        		0.569000
32        		0.538000
64        		0.537000
128       		0.536000
256       		0.542000
512       		0.563000
1024      		0.619000
2048      		0.827000
4096      		1.409000
8192      		2.162000
16384     		3.854000
32768     		7.646000
65536     		17.374000
131072    		35.336000
262144    		70.150000
524288    		148.830000
1048576   		319.920000
2097152   		1431.930000
4194304   		2261.450000
8388608   		5396.540000
16777216  		11156.490000
33554432  		22773.660000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.279000
1         		0.261000
2         		0.251000
4         		0.227000
8         		0.229000
16        		0.263000
32        		0.232000
64        		0.231000
128       		0.252000
256       		0.253000
512       		0.279000
1024      		0.291000
2048      		0.547000
4096      		1.090000
8192      		1.813000
16384     		3.233000
32768     		7.225000
65536     		16.800000
131072    		34.599000
262144    		68.649000
524288    		146.130000
1048576   		312.190000
2097152   		1418.480000
4194304   		2323.130000
8388608   		5298.390000
16777216  		10927.990000
33554432  		22344.580000
