## Yaksa Times ##
Buf Counts		Time(us)
0         		0.271000
1         		1.268000
2         		1.230000
4         		1.196000
8         		1.126000
16        		1.083000
32        		1.112000
64        		1.050000
128       		1.076000
256       		1.020000
512       		1.086000
1024      		1.084000
2048      		1.248000
4096      		1.852000
8192      		2.469000
16384     		3.857000
32768     		7.623000
65536     		16.470000
131072    		33.069000
262144    		65.129000
524288    		138.150000
1048576   		304.210000
2097152   		1386.150000
4194304   		2318.260000
8388608   		5240.340000
16777216  		10881.200000
33554432  		21884.660000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.240000
1         		0.249000
2         		0.264000
4         		0.252000
8         		0.222000
16        		0.222000
32        		0.217000
64        		0.215000
128       		0.231000
256       		0.216000
512       		0.248000
1024      		0.267000
2048      		0.500000
4096      		0.970000
8192      		1.614000
16384     		2.822000
32768     		6.896000
65536     		15.302000
131072    		31.673000
262144    		63.914000
524288    		136.140000
1048576   		300.780000
2097152   		1391.240000
4194304   		2316.410000
8388608   		5123.030000
16777216  		10721.260000
33554432  		21893.120000
