## Yaksa Times ##
Buf Counts		Time(us)
0         		0.260000
1         		0.929000
2         		0.935000
4         		0.870000
8         		0.870000
16        		0.811000
32        		0.838000
64        		0.763000
128       		0.781000
256       		0.796000
512       		0.810000
1024      		0.873000
2048      		1.038000
4096      		1.608000
8192      		2.226000
16384     		3.749000
32768     		7.602000
65536     		17.600000
131072    		35.625000
262144    		70.389000
524288    		148.610000
1048576   		323.310000
2097152   		1430.200000
4194304   		2404.860000
8388608   		5331.920000
16777216  		11062.210000
33554432  		22255.290000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.251000
1         		0.256000
2         		0.252000
4         		0.241000
8         		0.222000
16        		0.225000
32        		0.234000
64        		0.207000
128       		0.223000
256       		0.216000
512       		0.269000
1024      		0.295000
2048      		0.521000
4096      		1.028000
8192      		1.650000
16384     		3.136000
32768     		6.864000
65536     		16.200000
131072    		34.467000
262144    		69.731000
524288    		145.250000
1048576   		315.290000
2097152   		1434.190000
4194304   		2362.790000
8388608   		5216.960000
16777216  		10889.450000
33554432  		22226.270000
