## Yaksa Times ##
Buf Counts		Time(us)
0         		0.300000
1         		1.200000
2         		0.970000
4         		0.960000
8         		0.950000
16        		0.960000
32        		0.960000
64        		0.950000
128       		0.980000
256       		0.970000
512       		1.000000
1024      		1.030000
2048      		1.390000
4096      		2.200000
8192      		3.330000
16384     		5.910000
32768     		12.920000
65536     		27.760000
131072    		49.820000
262144    		82.900000
524288    		152.230000
1048576   		317.770000
2097152   		1443.450000
4194304   		2472.960000
8388608   		5536.490000
16777216  		11274.830000
33554432  		22819.480000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.220000
1         		0.240000
2         		0.250000
4         		0.270000
8         		0.260000
16        		0.240000
32        		0.230000
64        		0.220000
128       		0.280000
256       		0.300000
512       		0.290000
1024      		0.350000
2048      		0.670000
4096      		1.370000
8192      		2.440000
16384     		4.630000
32768     		11.560000
65536     		24.420000
131072    		45.180000
262144    		73.810000
524288    		148.180000
1048576   		317.860000
2097152   		1444.200000
4194304   		2460.170000
8388608   		5426.970000
16777216  		11160.450000
33554432  		22804.730000
