## Yaksa Times ##
Buf Counts		Time(us)
0         		0.240000
1         		0.750000
2         		0.650000
4         		0.590000
8         		0.750000
16        		0.590000
32        		0.550000
64        		0.540000
128       		0.580000
256       		0.630000
512       		0.620000
1024      		0.650000
2048      		0.970000
4096      		2.260000
8192      		2.660000
16384     		5.260000
32768     		11.650000
65536     		23.900000
131072    		44.760000
262144    		74.730000
524288    		138.890000
1048576   		308.290000
2097152   		1389.660000
4194304   		2345.350000
8388608   		5254.090000
16777216  		10870.620000
33554432  		21980.940000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.230000
1         		0.290000
2         		0.300000
4         		0.250000
8         		0.230000
16        		0.250000
32        		0.210000
64        		0.270000
128       		0.320000
256       		0.390000
512       		0.300000
1024      		0.340000
2048      		0.600000
4096      		1.900000
8192      		2.160000
16384     		4.460000
32768     		10.150000
65536     		22.110000
131072    		40.430000
262144    		69.870000
524288    		137.040000
1048576   		304.230000
2097152   		1403.390000
4194304   		2325.550000
8388608   		5176.980000
16777216  		10756.450000
33554432  		22001.940000
