## Yaksa Times ##
Buf Counts		Time(us)
0         		0.281000
1         		0.583000
2         		0.586000
4         		0.634000
8         		0.616000
16        		0.600000
32        		0.585000
64        		0.582000
128       		0.576000
256       		0.579000
512       		0.571000
1024      		0.587000
2048      		0.859000
4096      		1.389000
8192      		2.167000
16384     		3.757000
32768     		7.334000
65536     		16.246000
131072    		32.772000
262144    		65.022000
524288    		138.170000
1048576   		300.460000
2097152   		1384.180000
4194304   		2271.070000
8388608   		5239.330000
16777216  		10967.740000
33554432  		22014.320000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.240000
1         		0.243000
2         		0.243000
4         		0.260000
8         		0.267000
16        		0.260000
32        		0.249000
64        		0.240000
128       		0.254000
256       		0.257000
512       		0.247000
1024      		0.290000
2048      		0.530000
4096      		1.055000
8192      		1.799000
16384     		3.265000
32768     		7.098000
65536     		15.340000
131072    		31.828000
262144    		63.385000
524288    		135.950000
1048576   		293.330000
2097152   		1396.120000
4194304   		2323.150000
8388608   		5165.040000
16777216  		10787.040000
33554432  		21980.980000
