## Yaksa Times ##
Buf Counts		Time(us)
0         		0.288000
1         		1.321000
2         		1.302000
4         		1.219000
8         		1.198000
16        		1.140000
32        		1.141000
64        		1.055000
128       		1.024000
256       		1.071000
512       		1.117000
1024      		1.124000
2048      		1.274000
4096      		1.775000
8192      		2.528000
16384     		4.067000
32768     		8.201000
65536     		17.732000
131072    		35.950000
262144    		70.711000
524288    		148.950000
1048576   		326.450000
2097152   		1404.910000
4194304   		2345.110000
8388608   		5299.740000
16777216  		10930.800000
33554432  		22237.510000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.256000
1         		0.258000
2         		0.275000
4         		0.258000
8         		0.227000
16        		0.222000
32        		0.221000
64        		0.217000
128       		0.233000
256       		0.230000
512       		0.253000
1024      		0.273000
2048      		0.496000
4096      		0.971000
8192      		1.645000
16384     		3.100000
32768     		6.944000
65536     		16.405000
131072    		34.217000
262144    		69.121000
524288    		146.130000
1048576   		318.850000
2097152   		1428.640000
4194304   		2353.160000
8388608   		5195.830000
16777216  		10879.950000
33554432  		22239.440000
