## Yaksa Times ##
Buf Counts		Time(us)
0         		0.280000
1         		0.654000
2         		0.607000
4         		0.606000
8         		0.615000
16        		0.628000
32        		0.608000
64        		0.618000
128       		0.657000
256       		0.612000
512       		0.646000
1024      		0.689000
2048      		1.020000
4096      		1.652000
8192      		2.707000
16384     		5.033000
32768     		8.921000
65536     		17.608000
131072    		35.310000
262144    		70.182000
524288    		148.360000
1048576   		327.520000
2097152   		1435.460000
4194304   		2259.810000
8388608   		5383.620000
16777216  		11068.820000
33554432  		22373.080000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.260000
1         		0.258000
2         		0.247000
4         		0.240000
8         		0.274000
16        		0.268000
32        		0.250000
64        		0.278000
128       		0.270000
256       		0.272000
512       		0.314000
1024      		0.351000
2048      		0.657000
4096      		1.335000
8192      		2.197000
16384     		4.372000
32768     		7.963000
65536     		16.803000
131072    		34.210000
262144    		70.038000
524288    		145.880000
1048576   		320.170000
2097152   		1440.510000
4194304   		2320.710000
8388608   		5263.550000
16777216  		10918.510000
33554432  		22348.620000
