## Yaksa Times ##
Buf Counts		Time(us)
0         		0.278000
1         		0.999000
2         		0.920000
4         		0.890000
8         		0.894000
16        		0.917000
32        		0.889000
64        		0.897000
128       		0.925000
256       		0.893000
512       		0.937000
1024      		0.967000
2048      		1.188000
4096      		1.715000
8192      		2.728000
16384     		4.367000
32768     		7.875000
65536     		17.353000
131072    		35.517000
262144    		70.303000
524288    		148.840000
1048576   		329.060000
2097152   		1435.140000
4194304   		2381.850000
8388608   		5461.580000
16777216  		11147.690000
33554432  		22737.900000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.252000
1         		0.247000
2         		0.255000
4         		0.247000
8         		0.249000
16        		0.270000
32        		0.245000
64        		0.251000
128       		0.276000
256       		0.253000
512       		0.274000
1024      		0.318000
2048      		0.564000
4096      		1.134000
8192      		2.014000
16384     		3.641000
32768     		7.045000
65536     		16.376000
131072    		34.887000
262144    		70.179000
524288    		146.940000
1048576   		318.040000
2097152   		1453.680000
4194304   		2279.520000
8388608   		5307.060000
16777216  		10954.470000
33554432  		22413.300000
