## Yaksa Times ##
Buf Counts		Time(us)
0         		0.261000
1         		0.628000
2         		0.617000
4         		0.599000
8         		0.583000
16        		0.574000
32        		0.564000
64        		0.529000
128       		0.541000
256       		0.563000
512       		0.564000
1024      		0.599000
2048      		0.847000
4096      		1.427000
8192      		2.167000
16384     		3.920000
32768     		7.542000
65536     		17.402000
131072    		35.368000
262144    		70.161000
524288    		148.240000
1048576   		325.590000
2097152   		1440.100000
4194304   		2372.930000
8388608   		5442.690000
16777216  		11178.870000
33554432  		22804.780000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.237000
1         		0.262000
2         		0.263000
4         		0.235000
8         		0.246000
16        		0.220000
32        		0.225000
64        		0.216000
128       		0.235000
256       		0.235000
512       		0.263000
1024      		0.296000
2048      		0.537000
4096      		1.102000
8192      		1.821000
16384     		3.426000
32768     		7.100000
65536     		16.599000
131072    		34.220000
262144    		69.419000
524288    		146.020000
1048576   		319.090000
2097152   		1463.000000
4194304   		2358.720000
8388608   		5304.260000
16777216  		11015.440000
33554432  		22804.500000
