## Yaksa Times ##
Buf Counts		Time(us)
0         		0.270000
1         		0.750000
2         		0.620000
4         		0.630000
8         		0.610000
16        		0.630000
32        		0.640000
64        		0.640000
128       		0.660000
256       		0.660000
512       		0.670000
1024      		0.750000
2048      		1.090000
4096      		1.860000
8192      		3.040000
16384     		5.670000
32768     		13.320000
65536     		30.800000
131072    		61.370000
262144    		96.180000
524288    		152.310000
1048576   		327.250000
2097152   		1441.040000
4194304   		2393.030000
8388608   		5421.070000
16777216  		11195.910000
33554432  		22831.080000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.250000
1         		0.260000
2         		0.260000
4         		0.240000
8         		0.240000
16        		0.250000
32        		0.280000
64        		0.280000
128       		0.280000
256       		0.280000
512       		0.350000
1024      		0.390000
2048      		0.720000
4096      		1.410000
8192      		2.470000
16384     		5.070000
32768     		12.230000
65536     		29.330000
131072    		52.950000
262144    		82.870000
524288    		150.530000
1048576   		321.830000
2097152   		1453.100000
4194304   		2386.200000
8388608   		5311.050000
16777216  		10988.400000
33554432  		22382.050000
