## Yaksa Times ##
Buf Counts		Time(us)
0         		0.260000
1         		0.730000
2         		0.600000
4         		0.670000
8         		0.600000
16        		0.580000
32        		0.640000
64        		0.650000
128       		0.600000
256       		0.640000
512       		0.630000
1024      		0.660000
2048      		1.030000
4096      		1.690000
8192      		4.010000
16384     		5.660000
32768     		12.030000
65536     		26.210000
131072    		48.320000
262144    		79.530000
524288    		147.680000
1048576   		326.140000
2097152   		1432.090000
4194304   		2470.950000
8388608   		5464.470000
16777216  		11246.940000
33554432  		22770.560000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.260000
1         		0.240000
2         		0.200000
4         		0.230000
8         		0.220000
16        		0.210000
32        		0.280000
64        		0.240000
128       		0.450000
256       		0.290000
512       		0.300000
1024      		0.360000
2048      		0.670000
4096      		1.330000
8192      		3.520000
16384     		4.790000
32768     		10.600000
65536     		23.100000
131072    		43.150000
262144    		72.690000
524288    		146.470000
1048576   		321.270000
2097152   		1429.220000
4194304   		2439.760000
8388608   		5382.210000
16777216  		11049.160000
33554432  		22483.370000
