## Yaksa Times ##
Buf Counts		Time(us)
0         		0.259000
1         		0.963000
2         		0.883000
4         		0.849000
8         		0.826000
16        		0.803000
32        		0.863000
64        		0.905000
128       		0.777000
256       		0.780000
512       		0.844000
1024      		0.842000
2048      		1.013000
4096      		1.594000
8192      		2.695000
16384     		3.521000
32768     		7.544000
65536     		17.596000
131072    		35.490000
262144    		70.339000
524288    		148.420000
1048576   		322.880000
2097152   		1410.700000
4194304   		2322.600000
8388608   		5287.030000
16777216  		11054.560000
33554432  		22262.260000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.226000
1         		0.221000
2         		0.248000
4         		0.233000
8         		0.225000
16        		0.214000
32        		0.233000
64        		0.243000
128       		0.213000
256       		0.223000
512       		0.247000
1024      		0.283000
2048      		0.489000
4096      		1.005000
8192      		2.064000
16384     		2.801000
32768     		6.959000
65536     		17.194000
131072    		34.247000
262144    		68.700000
524288    		146.280000
1048576   		314.350000
2097152   		1426.500000
4194304   		2361.060000
8388608   		5194.980000
16777216  		10880.300000
33554432  		22252.700000
