## Yaksa Times ##
Buf Counts		Time(us)
0         		0.270000
1         		0.720000
2         		0.620000
4         		0.510000
8         		0.690000
16        		0.590000
32        		0.610000
64        		0.660000
128       		0.620000
256       		0.610000
512       		0.690000
1024      		0.690000
2048      		1.000000
4096      		1.790000
8192      		2.940000
16384     		5.620000
32768     		13.170000
65536     		29.410000
131072    		51.910000
262144    		85.980000
524288    		150.170000
1048576   		321.580000
2097152   		1453.950000
4194304   		2436.380000
8388608   		5478.550000
16777216  		11181.930000
33554432  		22716.300000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.470000
1         		0.310000
2         		0.150000
4         		0.280000
8         		0.230000
16        		0.190000
32        		0.240000
64        		0.260000
128       		0.270000
256       		0.260000
512       		0.320000
1024      		0.370000
2048      		0.620000
4096      		1.350000
8192      		2.390000
16384     		5.010000
32768     		12.130000
65536     		26.070000
131072    		48.450000
262144    		75.060000
524288    		147.750000
1048576   		313.150000
2097152   		1432.220000
4194304   		2344.010000
8388608   		5344.490000
16777216  		10965.570000
33554432  		22434.480000
