## Yaksa Times ##
Buf Counts		Time(us)
0         		0.311000
1         		1.373000
2         		1.306000
4         		1.289000
8         		1.275000
16        		1.292000
32        		1.273000
64        		1.256000
128       		1.291000
256       		1.298000
512       		1.321000
1024      		1.284000
2048      		1.473000
4096      		2.016000
8192      		2.862000
16384     		4.371000
32768     		8.152000
65536     		17.990000
131072    		35.736000
262144    		70.563000
524288    		149.040000
1048576   		326.210000
2097152   		1461.280000
4194304   		2381.140000
8388608   		5429.410000
16777216  		11195.420000
33554432  		22807.250000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.276000
1         		0.248000
2         		0.255000
4         		0.235000
8         		0.234000
16        		0.239000
32        		0.261000
64        		0.246000
128       		0.258000
256       		0.267000
512       		0.290000
1024      		0.309000
2048      		0.541000
4096      		1.100000
8192      		1.800000
16384     		3.223000
32768     		7.224000
65536     		16.819000
131072    		35.351000
262144    		69.024000
524288    		146.810000
1048576   		322.740000
2097152   		1453.580000
4194304   		2407.760000
8388608   		5278.600000
16777216  		11143.270000
33554432  		22810.070000
