## Yaksa Times ##
Buf Counts		Time(us)
0         		0.290000
1         		1.110000
2         		0.960000
4         		0.920000
8         		0.990000
16        		0.970000
32        		0.980000
64        		0.950000
128       		1.010000
256       		1.000000
512       		0.990000
1024      		1.070000
2048      		1.550000
4096      		2.100000
8192      		3.170000
16384     		5.660000
32768     		12.390000
65536     		26.870000
131072    		49.030000
262144    		78.950000
524288    		147.800000
1048576   		320.760000
2097152   		1420.300000
4194304   		2450.740000
8388608   		5428.430000
16777216  		11176.510000
33554432  		22423.010000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.230000
1         		0.270000
2         		0.240000
4         		0.190000
8         		0.240000
16        		0.260000
32        		0.260000
64        		0.220000
128       		0.260000
256       		0.340000
512       		0.310000
1024      		0.350000
2048      		0.680000
4096      		1.310000
8192      		2.280000
16384     		4.730000
32768     		11.110000
65536     		23.560000
131072    		44.310000
262144    		72.460000
524288    		141.660000
1048576   		317.280000
2097152   		1422.230000
4194304   		2385.820000
8388608   		5315.910000
16777216  		10979.090000
33554432  		22421.430000
