## Yaksa Times ##
Buf Counts		Time(us)
0         		0.282000
1         		0.628000
2         		0.575000
4         		0.582000
8         		0.589000
16        		0.595000
32        		0.570000
64        		0.600000
128       		0.614000
256       		0.611000
512       		0.623000
1024      		0.655000
2048      		0.963000
4096      		1.537000
8192      		2.331000
16384     		4.180000
32768     		8.132000
65536     		17.061000
131072    		34.291000
262144    		67.940000
524288    		143.970000
1048576   		312.010000
2097152   		1399.410000
4194304   		2262.220000
8388608   		5263.800000
16777216  		10928.350000
33554432  		22008.400000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.269000
1         		0.250000
2         		0.231000
4         		0.221000
8         		0.266000
16        		0.251000
32        		0.244000
64        		0.265000
128       		0.279000
256       		0.268000
512       		0.292000
1024      		0.331000
2048      		0.601000
4096      		1.215000
8192      		1.936000
16384     		3.529000
32768     		7.241000
65536     		16.602000
131072    		33.569000
262144    		67.098000
524288    		143.610000
1048576   		306.390000
2097152   		1410.640000
4194304   		2306.840000
8388608   		5183.780000
16777216  		10733.160000
33554432  		21922.020000
