## Yaksa Times ##
Buf Counts		Time(us)
0         		0.251000
1         		0.972000
2         		0.913000
4         		0.915000
8         		0.920000
16        		0.894000
32        		0.869000
64        		0.863000
128       		0.865000
256       		0.820000
512       		0.851000
1024      		0.909000
2048      		1.087000
4096      		1.671000
8192      		2.450000
16384     		4.152000
32768     		7.496000
65536     		17.300000
131072    		34.428000
262144    		68.095000
524288    		143.950000
1048576   		322.360000
2097152   		1415.030000
4194304   		2333.840000
8388608   		5274.690000
16777216  		10912.090000
33554432  		21965.880000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.225000
1         		0.227000
2         		0.223000
4         		0.241000
8         		0.241000
16        		0.267000
32        		0.250000
64        		0.239000
128       		0.224000
256       		0.243000
512       		0.248000
1024      		0.308000
2048      		0.523000
4096      		1.051000
8192      		1.743000
16384     		3.767000
32768     		6.878000
65536     		16.362000
131072    		33.527000
262144    		67.661000
524288    		143.230000
1048576   		319.100000
2097152   		1387.140000
4194304   		2358.840000
8388608   		5222.280000
16777216  		10789.860000
33554432  		21918.330000
