## Yaksa Times ##
Buf Counts		Time(us)
0         		0.917000
1         		3.082000
2         		2.981000
4         		3.011000
8         		1.972000
16        		1.684000
32        		1.480000
64        		1.235000
128       		1.191000
256       		1.112000
512       		1.094000
1024      		1.171000
2048      		1.211000
4096      		1.919000
8192      		2.536000
16384     		4.338000
32768     		7.142000
65536     		16.265000
131072    		32.849000
262144    		64.972000
524288    		137.940000
1048576   		303.130000
2097152   		1382.390000
4194304   		2272.630000
8388608   		5195.890000
16777216  		10852.610000
33554432  		21903.920000

## Memcpy Times ##
Buf Counts		Time(us)
0         		0.863000
1         		0.852000
2         		0.789000
4         		0.720000
8         		0.547000
16        		0.434000
32        		0.442000
64        		0.334000
128       		0.345000
256       		0.305000
512       		0.354000
1024      		0.366000
2048      		0.593000
4096      		1.112000
8192      		1.764000
16384     		3.464000
32768     		6.523000
65536     		15.314000
131072    		32.101000
262144    		63.984000
524288    		137.240000
1048576   		294.200000
2097152   		1376.910000
4194304   		2291.230000
8388608   		5113.790000
16777216  		10706.060000
33554432  		21888.290000
